
time,bias,peak
285,0.46875,0.73339844
355,0.46875,0.7265625
426,0.46875,0.7265625
496,0.46875,0.7314453
567,0.46875,0.7246094
638,0.46875,0.72558594
708,0.46875,0.73339844
779,0.46875,0.7265625
850,0.46875,0.72558594
921,0.53125,0.6933594
992,0.46875,0.7265625
1063,0.46875,0.73535156
1134,0.53125,0.6933594
1205,0.46875,0.72558594
1275,0.46875,0.72558594
1347,0.46875,0.7236328
1419,0.46875,0.734375
1491,0.46875,0.72265625
1561,0.46875,0.70214844
1632,0.46875,0.71972656
1703,0.46875,0.71484375
1775,0.53125,0.71191406
1846,0.53125,0.71972656
1917,0.53125,0.7236328
1988,0.53125,0.6982422
2059,0.53125,0.703125
2130,0.5625,0.69628906
2201,0.5625,0.6933594
2271,0.625,0.6796875
2342,0.625,0.671875
2413,0.6875,0.67871094
2484,0.65625,0.671875
2555,0.65625,0.67089844
2626,0.6875,0.6796875
2697,0.59375,0.6816406
2768,0.53125,0.7265625
2839,0.53125,0.71875
2910,0.46875,0.71191406
2981,0.46875,0.7265625
3052,0.46875,0.71972656
3123,0.46875,0.7216797
3194,0.46875,0.7324219
3265,0.46875,0.72265625
3336,0.46875,0.72265625
3407,0.46875,0.7246094
3479,0.46875,0.7236328
3550,0.46875,0.73535156
3621,0.46875,0.72753906
3692,0.46875,0.734375
3762,0.46875,0.7246094
3834,0.46875,0.73535156
3905,0.46875,0.734375
3976,0.46875,0.7246094
4047,0.46875,0.72558594
4117,0.46875,0.73535156
4188,0.46875,0.72558594
4258,0.46875,0.73339844
4329,0.46875,0.7265625
4400,0.46875,0.7236328
4471,0.46875,0.7207031
4541,0.46875,0.71777344
4613,0.46875,0.7138672
4684,0.53125,0.7128906
4754,0.53125,0.7128906
4825,0.53125,0.7207031
4896,0.53125,0.7207031
4966,0.53125,0.72265625
5037,0.53125,0.7236328
5108,0.53125,0.7167969
5179,0.5625,0.7001953
5249,0.5625,0.6953125
5321,0.5625,0.6923828
5392,0.5625,0.6855469
5462,0.59375,0.6767578
5533,0.59375,0.67578125
5604,0.65625,0.6660156
5675,0.6875,0.65234375
5746,0.71875,0.65625
5817,0.6875,0.64453125
5888,0.71875,0.63964844
5958,0.75,0.65234375
6030,0.75,0.63378906
6101,0.8125,0.6269531
6171,0.8125,0.62109375
6242,0.90625,0.6279297
6313,0.96875,0.5917969
6384,0.96875,0.55371094
6455,0.96875,0.54589844
6527,0.96875,0.5800781
6598,0.90625,0.6142578
6668,0.71875,0.5751953
6739,0.65625,0.56347656
6810,0.65625,0.57421875
6881,0.65625,0.56933594
6952,0.65625,0.5732422
7023,0.625,0.5761719
7094,0.625,0.57714844
7165,0.59375,0.5830078
7236,0.59375,0.5839844
7307,0.59375,0.56640625
7378,0.59375,0.578125
7449,0.59375,0.58496094
7520,0.5625,0.5546875
7592,0.59375,0.5722656
7663,0.53125,0.6142578
7734,0.71875,0.5175781
7805,0.59375,0.5683594
7876,0.625,0.54589844
7947,0.5625,0.5800781
8019,0.59375,0.58203125
8089,0.59375,0.5751953
8161,0.59375,0.5625
8232,0.65625,0.55566406
8303,0.5625,0.55566406
8373,0.625,0.546875
8444,0.65625,0.5419922
8516,0.6875,0.52441406
8586,0.65625,0.5175781
8657,0.71875,0.5136719
8728,0.65625,0.50878906
8799,0.65625,0.5214844
8871,0.625,0.54003906
8941,0.65625,0.5341797
9012,0.65625,0.5332031
9084,0.71875,0.5126953
9155,0.71875,0.5029297
9226,0.71875,0.50683594
9296,0.875,0.4921875
9368,0.78125,0.4921875
9439,0.8125,0.48242188
9511,0.78125,0.4736328
9581,0.8125,0.5019531
9653,0.78125,0.49414062
9724,0.8125,0.4892578
9795,0.875,0.48339844
9867,0.78125,0.4814453
9937,0.8125,0.48828125
10008,0.6875,0.52246094
10079,0.65625,0.55078125
10150,0.65625,0.55566406
10221,0.5625,0.55078125
10293,0.65625,0.54003906
10364,0.625,0.5546875
10435,0.65625,0.5410156
10506,0.53125,0.5625
10576,0.5625,0.5732422
10647,0.53125,0.60253906
10719,0.53125,0.5966797
10790,0.53125,0.61035156
10862,0.53125,0.62402344
10932,0.53125,0.6220703
11004,0.53125,0.6171875
11075,0.53125,0.6269531
11147,0.53125,0.6201172
11217,0.46875,0.62597656
11288,0.53125,0.6152344
11359,0.46875,0.6269531
11430,0.46875,0.6191406
11500,0.53125,0.6220703
11571,0.53125,0.6201172
11642,0.53125,0.609375
11712,0.53125,0.5966797
11782,0.53125,0.6064453
11853,0.53125,0.58691406
11924,0.53125,0.59765625
11996,0.53125,0.60058594
12066,0.46875,0.6074219
12136,0.46875,0.6220703
12208,0.46875,0.625
12278,0.46875,0.61816406
12349,0.46875,0.6074219
12420,0.46875,0.6220703
12491,0.46875,0.6191406
12562,0.46875,0.62109375
12632,0.46875,0.63183594
12704,0.46875,0.6347656
12775,0.46875,0.6269531
12845,0.40625,0.63671875
12917,0.40625,0.6435547
12988,0.40625,0.6455078
13059,0.40625,0.6386719
13130,0.40625,0.6357422
13201,0.40625,0.6347656
13271,0.40625,0.6376953
13342,0.40625,0.64453125
13413,0.40625,0.6386719
13483,0.40625,0.6298828
13554,0.40625,0.6279297
13625,0.375,0.61328125
13696,0.34375,0.62597656
13766,0.34375,0.6347656
13837,0.34375,0.6435547
13907,0.28125,0.6748047
13979,0.3125,0.67089844
14050,0.28125,0.6591797
14121,0.28125,0.67089844
14192,0.25,0.65722656
14263,0.28125,0.6582031
14334,0.28125,0.6621094
14404,0.28125,0.66308594
14475,0.25,0.66796875
14546,0.28125,0.6660156
14616,0.25,0.67578125
14688,0.28125,0.66308594
14760,0.28125,0.66308594
14831,0.28125,0.6669922
14902,0.25,0.6660156
14974,0.25,0.671875
15045,0.25,0.6669922
15116,0.28125,0.6669922
15187,0.28125,0.6699219
15258,0.28125,0.66308594
15329,0.25,0.68847656
15399,0.25,0.6816406
15471,0.25,0.66796875
15542,0.28125,0.66308594
15612,0.25,0.66308594
15683,0.25,0.66796875
15754,0.25,0.6699219
15825,0.21875,0.6699219
15896,0.25,0.67285156
15967,0.25,0.67871094
16038,0.21875,0.6738281
16109,0.25,0.67871094
16180,0.21875,0.67285156
16251,0.25,0.6796875
16322,0.25,0.67578125
16393,0.25,0.6796875
16464,0.21875,0.6689453
16534,0.21875,0.6699219
16605,0.28125,0.66308594
16676,0.28125,0.6660156
16747,0.25,0.6689453
16818,0.25,0.6660156
16889,0.28125,0.6611328
16960,0.25,0.6621094
17031,0.28125,0.6689453
17102,0.28125,0.6669922
17172,0.28125,0.6640625
17243,0.3125,0.6699219
17313,0.3125,0.6640625
17384,0.3125,0.6660156
17455,0.3125,0.66503906
17526,0.3125,0.6669922
17597,0.3125,0.6699219
17668,0.3125,0.6640625
17739,0.3125,0.6748047
17810,0.3125,0.68652344
17881,0.3125,0.6826172
17952,0.3125,0.67285156
18023,0.34375,0.65722656
